Altium Designer Pick and Place Locations
C:\MySpace\Work\IMT\Altium\Sheriff-Stern\30 Production data\Rev00, A0\Assembly data AD Sheriff Star Sheriff Star Rev00\Pick Place\Pick Place AD Sheriff Star Sheriff Star Rev00.txt

========================================================================================================================
File Design Information:

Date:       09.03.23
Time:       15:34
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer       Rotation 
C1         55.0000      53.0000      55.0000   53.0000   55.0000   52.1500   BottomLayer 90       
D1         19.6891      17.5000      19.6891   17.5000   19.3141   18.1495   TopLayer    300      
D2         19.6891      52.5000      19.6891   52.5000   20.0641   53.1495   TopLayer    240      
D3         50.0000      70.0000      50.0000   70.0000   50.7500   70.0000   TopLayer    180      
D4         80.3109      52.5000      80.3109   52.5000   80.6859   51.8505   TopLayer    120      
D5         80.3109      17.5000      80.3109   17.5000   79.9359   16.8505   TopLayer    60       
D6         50.0000      0.0000       50.0000   0.0000    49.2500   0.0000    TopLayer    0        
M1         -105.0800    -105.0800    80.3109   17.5000   -105.0800 -105.0800 BottomLayer 180      
M2         -105.0800    -105.0800    19.6891   52.5000   -105.0800 -105.0800 BottomLayer 180      
M3         -105.0800    -105.0800    33.0200   23.3680   -105.0800 -105.0800 BottomLayer 180      
M4         -105.0800    -105.0800    71.1200   24.8920   -105.0800 -105.0800 BottomLayer 180      
M5         -105.0800    -105.0800    50.0000   42.0000   -105.0800 -105.0800 TopLayer    0        
M6         -105.0800    -105.0800    50.0000   28.0000   -105.0800 -105.0800 TopLayer    0        
R1         26.4160      20.8280      26.4160   20.8280   25.7660   20.8280   BottomLayer 0        
R2         25.6500      50.8000      25.6500   50.8000   25.0000   50.8000   BottomLayer 0        
R3         50.0000      65.0000      50.0000   65.0000   50.0000   65.6500   BottomLayer 270      
R4         74.1680      50.8000      74.1680   50.8000   74.8180   50.8000   BottomLayer 180      
R5         73.6600      19.8120      73.6600   19.8120   74.3100   19.8120   BottomLayer 180      
R6         50.0000      5.0000       50.0000   5.0000    50.0000   4.3500    BottomLayer 90       
S1         50.0000      12.0000      50.0000   12.0000   52.7500   14.5000   BottomLayer 270      
S2         34.0040      49.0600      34.0040   49.0600   31.3040   49.0600   BottomLayer 0        
TP1        52.0860      46.9900      52.0860   46.9900   52.0860   46.9900   BottomLayer 90       
TP2        44.4500      46.9900      44.4500   46.9900   44.4500   46.9900   BottomLayer 90       
TP3        41.9100      46.9900      41.9100   46.9900   41.9100   46.9900   BottomLayer 90       
TP4        46.9900      46.9900      46.9900   46.9900   46.9900   46.9900   BottomLayer 90       
TP5        54.6100      46.9900      54.6100   46.9900   54.6100   46.9900   BottomLayer 90       
TP6        49.5300      46.9900      49.5300   46.9900   49.5300   46.9900   BottomLayer 90       
U1         49.0000      53.0000      49.0000   53.0000   52.8100   50.5500   BottomLayer 90       
X1         50.0000      28.0000      50.0000   28.0000   64.7000   28.0000   BottomLayer 180      
